City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
6,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
10,North Bend,US,78.24,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
15,Kununurra,AU,73.38,few clouds,-15.7667,128.7333,Hotel Kununurra
16,Beauvais,FR,75.45,clear sky,49.4167,2.0,LA GRANGE DE GEORGES
19,Albany,US,79.66,few clouds,42.6001,-73.9662,
20,Yumen,CN,75.74,clear sky,40.2833,97.2,
22,Trinidad,BO,69.26,clear sky,-14.8333,-64.9,Hotel Piesta
23,Rikitea,PF,73.31,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Progreso,MX,84.31,broken clouds,21.2833,-89.6667,Playa Linda Hotel
25,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
27,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
28,Salalah,OM,76.77,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
32,Pombas,CV,74.8,broken clouds,17.1503,-25.0201,Paul Paradis
33,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
37,Iracoubo,GF,80.26,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
38,Ribeira Grande,PT,72.77,broken clouds,38.5167,-28.7,Quinta da Meia Eira
39,Yellowknife,CA,71.28,overcast clouds,62.456,-114.3525,The Explorer Hotel
40,Jamestown,US,77.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Kavaratti,IN,81.28,broken clouds,10.5669,72.642,Green leaf
48,Sao Joao Da Barra,BR,73.99,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
50,Kidal,ML,88.09,light rain,18.4411,1.4078,
51,Vaini,TO,77.29,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Lagoa,PT,71.01,broken clouds,39.05,-27.9833,Casa Das Faias
53,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
54,Belmonte,BR,74.23,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
56,Baloda Bazar,IN,74.91,overcast clouds,21.6667,82.1667,STARiHOTELS Baloda Bazaar
57,Jiangyou,CN,78.66,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
58,Yuancheng,CN,71.85,broken clouds,36.652,107.7896,
