City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,2022-08-10 22:01:58,-0.7393,-90.3518,70.56,91,83,8.01,broken clouds
1,Tuatapere,NZ,2022-08-10 22:02:22,-46.1333,167.6833,38.43,87,19,4.0,few clouds
2,Yar-Sale,RU,2022-08-10 22:01:53,66.8333,70.8333,47.32,73,15,6.35,few clouds
3,Ilulissat,GL,2022-08-10 22:02:08,69.2167,-51.1,36.07,98,100,6.31,light rain
4,San Matias,BO,2022-08-10 22:06:49,-16.3667,-58.4,64.6,34,0,4.21,clear sky
5,Hambantota,LK,2022-08-10 22:04:52,6.1241,81.1185,77.34,100,20,9.22,few clouds
6,Avarua,CK,2022-08-10 22:01:44,-21.2078,-159.775,77.05,65,20,17.27,few clouds
7,Bethanien,NA,2022-08-10 22:06:50,-26.502,17.1583,56.26,29,23,1.21,few clouds
8,Hobart,AU,2022-08-10 22:00:19,-42.8794,147.3294,41.27,88,0,4.61,clear sky
9,Tuktoyaktuk,CA,2022-08-10 22:02:08,69.4541,-133.0374,47.43,75,100,18.63,overcast clouds
10,North Bend,US,2022-08-10 22:03:43,43.4065,-124.2243,78.24,53,75,17.27,broken clouds
11,East London,ZA,2022-08-10 22:01:57,-33.0153,27.9116,61.54,78,81,3.91,broken clouds
12,Bluff,NZ,2022-08-10 22:01:45,-46.6,168.3333,44.8,67,74,8.28,broken clouds
13,Busselton,AU,2022-08-10 22:01:41,-33.65,115.3333,51.87,83,64,5.21,broken clouds
14,Mataura,NZ,2022-08-10 22:01:50,-46.1927,168.8643,44.47,89,49,2.75,scattered clouds
15,Kununurra,AU,2022-08-10 22:03:43,-15.7667,128.7333,73.38,27,18,8.05,few clouds
16,Beauvais,FR,2022-08-10 22:06:51,49.4167,2.0,75.45,47,0,10.36,clear sky
17,Punta Arenas,CL,2022-08-10 22:01:56,-53.15,-70.9167,42.12,81,100,6.67,overcast clouds
18,Los Llanos De Aridane,ES,2022-08-10 22:02:48,28.6585,-17.9182,68.13,91,40,16.11,scattered clouds
19,Albany,US,2022-08-10 22:00:44,42.6001,-73.9662,79.66,62,12,6.29,few clouds
20,Yumen,CN,2022-08-10 22:02:45,40.2833,97.2,75.74,38,3,9.84,clear sky
21,Upernavik,GL,2022-08-10 22:01:37,72.7868,-56.1549,41.4,84,95,10.38,overcast clouds
22,Trinidad,BO,2022-08-10 22:06:52,-14.8333,-64.9,69.26,41,0,3.91,clear sky
23,Rikitea,PF,2022-08-10 22:01:42,-23.1203,-134.9692,73.31,72,91,21.14,overcast clouds
24,Progreso,MX,2022-08-10 22:06:53,21.2833,-89.6667,84.31,82,56,14.29,broken clouds
25,Victoria,HK,2022-08-10 22:00:17,22.2855,114.1577,83.32,86,100,11.01,overcast clouds
26,Kaitangata,NZ,2022-08-10 22:03:01,-46.2817,169.8464,39.45,87,91,1.61,overcast clouds
27,Ponta Do Sol,PT,2022-08-10 22:01:55,32.6667,-17.1,72.23,83,47,5.84,scattered clouds
28,Salalah,OM,2022-08-10 22:02:37,17.0151,54.0924,76.77,90,98,8.99,overcast clouds
29,Ushuaia,AR,2022-08-10 22:01:39,-54.8,-68.3,36.95,100,100,5.59,light rain
30,Saskylakh,RU,2022-08-10 22:01:57,71.9167,114.0833,49.3,78,45,12.48,scattered clouds
31,At-Bashi,KG,2022-08-10 22:04:46,41.1702,75.8106,54.57,65,57,1.74,broken clouds
32,Pombas,CV,2022-08-10 22:06:54,17.1503,-25.0201,74.8,81,71,12.64,broken clouds
33,Nouadhibou,MR,2022-08-10 21:58:40,20.931,-17.0347,73.38,78,0,20.71,sand
34,Katherine,AU,2022-08-10 22:02:18,-14.4667,132.2667,64.72,72,9,6.91,clear sky
35,Lebu,CL,2022-08-10 22:01:51,-37.6167,-73.65,48.92,83,1,3.0,clear sky
36,Beringovskiy,RU,2022-08-10 22:03:09,63.05,179.3167,59.31,72,9,4.23,clear sky
37,Iracoubo,GF,2022-08-10 22:06:55,5.4802,-53.2011,80.26,81,15,10.16,few clouds
38,Ribeira Grande,PT,2022-08-10 22:02:47,38.5167,-28.7,72.77,73,59,10.0,broken clouds
39,Yellowknife,CA,2022-08-10 22:02:40,62.456,-114.3525,71.28,49,100,10.11,overcast clouds
40,Jamestown,US,2022-08-10 22:00:33,42.097,-79.2353,77.52,51,7,5.01,clear sky
